"from","to"
"Endothelial.cells_lg","Cancer"
"CAF_lg","Cancer"
"T.cells.CD8_lg","Cancer"
"NK.cells.active_lg","Cancer"
"NK.cells.rest_lg","Cancer"
"Macrophages_sc_lg","Cancer"
"CD4Tcell_sc_lg","Cancer"
"B.cells.naive_lg","Cancer"
"Neutrophils_lg","Cancer"
"proliferation","Cancer"
"Epithelial","Cancer"
"Mesenchymal","Cancer"
"CCN4","Cancer"
"pM0","Cancer"
"pM1","Cancer"
"pM2","Cancer"
"Endothelial.cells_lg","CCN4"
"CAF_lg","CCN4"
"T.cells.CD8_lg","CCN4"
"NK.cells.active_lg","CCN4"
"NK.cells.rest_lg","CCN4"
"Macrophages_sc_lg","CCN4"
"CD4Tcell_sc_lg","CCN4"
"B.cells.naive_lg","CCN4"
"Neutrophils_lg","CCN4"
"proliferation","CCN4"
"Epithelial","CCN4"
"Mesenchymal","CCN4"
"pM0","CCN4"
"pM1","CCN4"
"pM2","CCN4"
"T.cells.CD8_lg","Endothelial.cells_lg"
"T.cells.CD8_lg","CAF_lg"
"T.cells.CD8_lg","NK.cells.active_lg"
"T.cells.CD8_lg","NK.cells.rest_lg"
"T.cells.CD8_lg","Macrophages_sc_lg"
"T.cells.CD8_lg","CD4Tcell_sc_lg"
"T.cells.CD8_lg","B.cells.naive_lg"
"T.cells.CD8_lg","Neutrophils_lg"
"T.cells.CD8_lg","proliferation"
"T.cells.CD8_lg","Epithelial"
"T.cells.CD8_lg","Mesenchymal"
"T.cells.CD8_lg","pM0"
"T.cells.CD8_lg","pM1"
"T.cells.CD8_lg","pM2"
"CD4Tcell_sc_lg","Endothelial.cells_lg"
"CD4Tcell_sc_lg","CAF_lg"
"CD4Tcell_sc_lg","NK.cells.active_lg"
"CD4Tcell_sc_lg","NK.cells.rest_lg"
"CD4Tcell_sc_lg","Macrophages_sc_lg"
"CD4Tcell_sc_lg","T.cells.CD8_lg"
"CD4Tcell_sc_lg","B.cells.naive_lg"
"CD4Tcell_sc_lg","Neutrophils_lg"
"CD4Tcell_sc_lg","proliferation"
"CD4Tcell_sc_lg","Epithelial"
"CD4Tcell_sc_lg","Mesenchymal"
"CD4Tcell_sc_lg","pM0"
"CD4Tcell_sc_lg","pM1"
"CD4Tcell_sc_lg","pM2"
"Neutrophils_lg","Endothelial.cells_lg"
"Neutrophils_lg","CAF_lg"
"Neutrophils_lg","NK.cells.active_lg"
"Neutrophils_lg","NK.cells.rest_lg"
"Neutrophils_lg","Macrophages_sc_lg"
"Neutrophils_lg","T.cells.CD8_lg"
"Neutrophils_lg","B.cells.naive_lg"
"Neutrophils_lg","CD4Tcell_sc_lg"
"Neutrophils_lg","proliferation"
"Neutrophils_lg","Epithelial"
"Neutrophils_lg","Mesenchymal"
"Neutrophils_lg","pM0"
"Neutrophils_lg","pM1"
"Neutrophils_lg","pM2"
